eventID,postID,postCategories,postPriority
45,1128293404285104129,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128293404301881345,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128293404306169863,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128293404318658561,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128293655289237504,"['Location', 'Factoid']",Low
45,1128293707516645376,"['Location', 'Factoid']",Low
45,1128294072005750785,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128294453880545281,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128294454710996993,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128294516904144897,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid']",Low
45,1128294637528145920,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128294674219847681,"['Location', 'Factoid', 'Hashtags']",Low
45,1128294751256621056,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128295090919809027,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128295408235450368,"['Location', 'Factoid']",Low
45,1128295549378207745,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128295696602357760,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128296038832279553,"['Location', 'Factoid', 'News']",Low
45,1128296222656212994,"['Location', 'Factoid']",Low
45,1128296230155632647,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128296307498594304,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128296729068150784,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128296741185433601,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128296852124626944,"['Location', 'EmergingThreats', 'Factoid', 'Hashtags', 'News']",Low
45,1128296911126061056,"['Location', 'Factoid', 'News']",Low
45,1128296969200447489,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128296982508855296,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128297172145827840,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128297182052978690,"['Location', 'EmergingThreats', 'Factoid', 'Hashtags']",Low
45,1128297197706125312,"['Location', 'EmergingThreats']",Low
45,1128297197739573249,"['Location', 'Factoid', 'Hashtags']",Low
45,1128297324487122944,"['ThirdPartyObservation', 'Location']",Low
45,1128297325569294337,"['Location', 'EmergingThreats', 'Hashtags']",Low
45,1128297864466186240,"['Location', 'EmergingThreats', 'MultimediaShare', 'Hashtags']",Low
45,1128297940122890241,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128298602709671936,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128298682615521280,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128298896550055943,"['Location', 'EmergingThreats', 'Factoid', 'Sentiment']",Low
45,1128298937322893314,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128299289958989824,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128299304593108992,"['Location', 'Factoid', 'News']",Low
45,1128299308846014464,"['Location', 'News']",Low
45,1128299409773608960,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128299417163845632,"['Location', 'Factoid']",Low
45,1128299759603785729,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128299827861889024,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128299868106178560,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128300097941405696,"['Location', 'EmergingThreats']",Low
45,1128300262961979392,"['Location', 'EmergingThreats', 'Hashtags', 'News']",Low
45,1128300540583206912,"['Location', 'Factoid']",Low
45,1128300570459168770,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128300723177959426,"['Location', 'Factoid', 'News']",Low
45,1128300761899839488,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128300781709471744,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128300807055659013,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128300831214845958,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128300865293438976,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128300901364449281,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128300987851116544,"['Location', 'MultimediaShare']",Low
45,1128300999033024513,"['ThirdPartyObservation', 'Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128301303019520002,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128301348431245314,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128301402810400768,"['Location', 'Factoid', 'Hashtags']",Low
45,1128301457898217472,"['Location', 'Factoid']",Low
45,1128301466794508294,"['Location', 'Factoid', 'News']",Low
45,1128301614337527809,"['Location', 'Factoid']",Low
45,1128301748404334592,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128301773872144384,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128301912451878912,"['Location', 'Factoid', 'News']",Low
45,1128302008836825088,"['Location', 'Factoid']",Low
45,1128302100591497217,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128302147030867970,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid']",Low
45,1128302147412602880,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128302187195428865,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128302243839524866,"['Location', 'EmergingThreats', 'News']",Low
45,1128302266476318722,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128302459808636928,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128302491811106816,"['Location', 'Factoid']",Low
45,1128302667481190400,"['Location', 'Factoid', 'News']",Low
45,1128302815317831680,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128302945995567104,"['Location', 'Factoid', 'News']",Low
45,1128303144943927296,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128303238753574912,"['Location', 'Factoid', 'News']",Low
45,1128303242171936769,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128303263831482370,"['Location', 'Factoid']",Low
45,1128303446866657285,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128303519906390024,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128303742913265664,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128303973247614976,"['Location', 'Factoid', 'News']",Low
45,1128304118416777216,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128304146161922048,"['Location', 'Factoid']",Low
45,1128304162599579650,"['Location', 'Factoid', 'Hashtags']",Low
45,1128304258481131520,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128304379159896065,"['Location', 'Factoid']",Low
45,1128304494469681153,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128304508826726401,"['Location', 'Factoid']",Low
45,1128304918207582208,"['Location', 'EmergingThreats', 'Factoid', 'Hashtags']",Low
45,1128304932652756992,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128304942395973632,"['Location', 'MultimediaShare', 'News']",Low
45,1128304965636755456,"['Location', 'Factoid', 'News']",Low
45,1128304983563223040,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128305013535592450,"['Location', 'MultimediaShare', 'Factoid', 'Advice']",Low
45,1128305049745014784,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128305096310308865,"['Location', 'EmergingThreats', 'MultimediaShare', 'Advice']",Low
45,1128305154057367552,"['Location', 'EmergingThreats', 'News']",Low
45,1128305333301129216,"['Location', 'Factoid']",Low
45,1128305484115730432,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128305570342064128,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128305601489113089,"['Location', 'EmergingThreats', 'News']",Low
45,1128305624842940416,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128305713925767169,"['Location', 'MultimediaShare', 'News']",Low
45,1128305773187088384,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128305867101810688,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128306022815281155,"['Location', 'EmergingThreats', 'News']",Low
45,1128306074128396289,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128306077974528000,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128306082332516352,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128306168449908737,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128306174321922048,"['Location', 'Factoid']",Low
45,1128306401850187777,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128306559547654144,"['Location', 'EmergingThreats', 'News']",Low
45,1128306733846290436,"['Location', 'Factoid', 'News']",Low
45,1128306952042233867,"['Location', 'EmergingThreats', 'MultimediaShare', 'Hashtags', 'News']",Low
45,1128307086520213506,"['Location', 'News']",Low
45,1128307091645587457,"['Location', 'Factoid']",Low
45,1128307427034537984,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128307663157190656,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128307732006809600,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128307736394047488,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128307775329787904,"['Location', 'EmergingThreats']",Low
45,1128308463740817408,"['Location', 'EmergingThreats']",Low
45,1128308512768045056,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128308571798556672,"['Location', 'Factoid', 'News']",Low
45,1128309337095467008,"['Location', 'Factoid', 'News']",Low
45,1128309489256415232,"['Location', 'Factoid', 'Hashtags']",Low
45,1128310189076168708,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128310257795518469,"['Location', 'Factoid']",Low
45,1128310263151714304,"['Location', 'MultimediaShare', 'News']",Low
45,1128310264711995395,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128310270219046913,"['Location', 'Factoid']",Low
45,1128310375844405248,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128310455158620165,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128310498842300416,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128310571995140096,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128311072069275648,"['FirstPartyObservation', 'Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128311111135088640,"['Location', 'EmergingThreats', 'MultimediaShare', 'Hashtags', 'News']",Low
45,1128311338768297984,"['Location', 'Hashtags', 'Sentiment', 'Irrelevant']",Low
45,1128311721402220545,"['Location', 'Factoid', 'Hashtags']",Low
45,1128311817250459649,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128311825983000576,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128311915233431554,"['Location', 'EmergingThreats', 'MultimediaShare', 'Hashtags', 'News']",Low
45,1128311988399091717,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128312323419062272,"['Location', 'EmergingThreats']",Low
45,1128312498933964802,"['Location', 'Factoid']",Low
45,1128312509583085569,"['Location', 'Factoid', 'Hashtags']",Low
45,1128312594316423168,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128312642794401793,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128313225026711553,"['Location', 'Factoid', 'Hashtags']",Low
45,1128313380173959171,"['Location', 'EmergingThreats']",Low
45,1128313619194810373,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128313627835023360,"['Location', 'Factoid', 'News']",Low
45,1128313688136605696,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128313846601588737,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Low
45,1128313858458886145,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128313866943913987,"['Location', 'Factoid', 'News']",Low
45,1128314049186254848,"['Location', 'EmergingThreats', 'News']",Low
45,1128314061026988033,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128314395287793665,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128314427332341760,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128314685634293761,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128314893143293952,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128314935447052288,"['Location', 'Factoid', 'News']",Low
45,1128314956250796034,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128315255011065857,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128315287508594690,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128315292126367745,"['Location', 'Factoid']",Low
45,1128315572368887808,"['Location', 'Factoid', 'News']",Low
45,1128315664614154240,"['Location', 'Factoid']",Low
45,1128315673950560257,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid']",Low
45,1128315828305387520,"['Location', 'Factoid', 'News']",Low
45,1128315996249513984,"['Location', 'Factoid', 'Hashtags']",Low
45,1128316452119896074,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128316536647819265,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128316592562102272,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid']",Low
45,1128316605958516738,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128316909986955270,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128317616123260929,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128318010593300480,"['Location', 'Factoid', 'News']",Low
45,1128318101689393152,"['Location', 'Factoid']",Low
45,1128318353183997952,"['Location', 'Factoid']",Low
45,1128319374992003074,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128319557221773312,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128319727493885953,"['Location', 'Factoid']",Low
45,1128319788806094849,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128319856636338176,"['Location', 'Factoid']",Low
45,1128319947686289408,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128320000530505739,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128320053382803456,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128320307478114313,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128320519424610304,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128320632343662593,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128320803748110336,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128321577156775936,['Location'],Low
45,1128321621549289472,"['Location', 'EmergingThreats', 'News']",Low
45,1128321813442904065,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128321826260754434,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128321918464143361,"['Location', 'Factoid', 'News']",Low
45,1128321931038547968,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128322161687576576,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128322326276259847,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128322471038373888,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128322918725947392,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128322926736965632,"['Location', 'Factoid']",Low
45,1128323914512371712,['Irrelevant'],Low
45,1128323915825188864,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128324220109430785,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128324405765885952,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128324450070319105,"['Location', 'Factoid']",Low
45,1128325187580178433,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128325239186821121,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128325269901709313,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128325345713770499,"['Location', 'EmergingThreats', 'News']",Low
45,1128325365766721536,"['Location', 'Factoid']",Low
45,1128325431772557314,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128325466841071616,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128325493944508416,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128325555303137281,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128325930005532672,"['Location', 'Factoid']",Low
45,1128326270775730177,['Irrelevant'],Low
45,1128326280854720513,"['Location', 'MultimediaShare']",Low
45,1128326493023633417,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128326604558622722,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128327173281058816,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128327219506491392,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128327268516995075,"['Location', 'EmergingThreats', 'Hashtags', 'Advice']",Low
45,1128327420694732800,"['Location', 'Factoid']",Low
45,1128327967439036416,"['Location', 'Factoid']",Low
45,1128328033977470976,"['Location', 'EmergingThreats', 'News']",Low
45,1128328084195815424,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128328122615513090,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128328411796070400,"['Location', 'News']",Low
45,1128328426408964096,"['Location', 'Factoid']",Low
45,1128328583049400321,"['Location', 'Factoid']",Low
45,1128329017415827457,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128329141877481473,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128329143756574720,['Irrelevant'],Low
45,1128329153487474688,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128329189285711872,"['Location', 'EmergingThreats']",Low
45,1128329399965818880,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128329425072926720,"['Location', 'Factoid']",Low
45,1128329495491031041,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128330038623887360,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128330093523349511,"['Location', 'Factoid', 'News']",Low
45,1128330194987540480,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128330324524568576,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128330473820884994,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
45,1128330690121039873,"['Location', 'Factoid']",Low
45,1128330922338787328,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128331436157808641,"['Location', 'Factoid', 'News']",Low
45,1128331648792170497,"['Location', 'Factoid', 'News']",Low
45,1128331652105678848,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128331719315214337,"['Location', 'Factoid', 'News']",Low
45,1128331835698708480,"['Location', 'EmergingThreats', 'News']",Low
45,1128331911653416963,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128332023733657600,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128332803635130368,"['Location', 'Factoid']",Low
45,1128333232892710930,"['Location', 'EmergingThreats', 'MultimediaShare', 'Hashtags', 'News']",Low
45,1128333234121482240,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128333277327167489,"['Location', 'EmergingThreats']",Low
45,1128333388174245888,"['Location', 'Factoid', 'Sentiment', 'Irrelevant']",Low
45,1128333681859416065,"['Location', 'EmergingThreats', 'Factoid', 'Sentiment', 'Irrelevant']",Low
45,1128333737685602304,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128333989482307585,"['Location', 'Factoid']",Low
45,1128334301567832066,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128334465447735297,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",Low
45,1128334479037169666,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128334507059437569,"['Location', 'EmergingThreats']",Low
45,1128335300588122112,"['Location', 'Factoid']",Low
45,1128335437263704065,"['Location', 'Factoid', 'News']",Low
45,1128335545690730496,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128335860116729858,"['Location', 'Factoid', 'News']",Low
45,1128335915208859650,"['Location', 'EmergingThreats', 'News']",Low
45,1128335930073292800,"['Location', 'Factoid', 'News']",Low
45,1128336190002860033,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128336462380974080,"['Location', 'EmergingThreats', 'Sentiment', 'Irrelevant']",Low
45,1128336901541228544,"['Location', 'Factoid', 'News']",Low
45,1128336987566497792,['Irrelevant'],Low
45,1128337094298857472,"['Location', 'Factoid']",Low
45,1128337188905578496,"['Location', 'Factoid', 'Hashtags']",Low
45,1128337425581924352,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128337521430093824,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128337704931008515,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128338159949901824,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128338815582711809,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128339118482546691,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128339204956741632,"['Location', 'Factoid', 'News']",Low
